epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.04803,2.51508,2.65468,1.35681,2.34832,2.4547,0.74109,0.37426,0.3885,0.07606,0.74744,0.3864,0.46595,0.08665,3.46079,3.80251,1.30709,1.87306,3.32254,0.0001,0.0001,0.0001
2,7.63555,2.06844,2.49662,1.32112,1.29544,1.88796,0.68812,0.69565,0.63654,0.24156,0.77003,0.78261,0.7067,0.17319,2.72591,3.58374,1.29165,1.09537,1.86512,0.000215644,0.000215644,0.000215644
3,9.15093,1.78846,1.75638,1.24911,1.25263,1.6845,0.48632,0.52174,0.50482,0.16938,0.62764,0.82609,0.72331,0.22791,2.79299,3.18956,1.26201,1.32618,1.94971,0.000326536,0.000326536,0.000326536
4,10.6093,1.68139,1.44484,1.13852,1.12343,1.59194,0.89343,0.6087,0.71912,0.25053,0.885,0.82609,0.88895,0.40901,2.5294,2.8245,1.19828,1.13542,1.91634,0.000432676,0.000432676,0.000432676
5,11.951,1.72254,1.51581,1.10127,1.04433,1.58334,0.59858,0.73913,0.61389,0.24051,0.77606,0.95652,0.91289,0.40814,2.29465,2.74259,1.10508,1.34993,1.74646,0.000534064,0.000534064,0.000534064
6,13.2957,1.57049,1.11595,1.03815,0.97018,1.4514,0.83806,0.82609,0.79166,0.37672,0.97781,0.95652,0.955,0.46097,2.13587,2.28982,1.02163,0.98178,1.62749,0.0006307,0.0006307,0.0006307
7,14.6525,1.5613,1.02772,0.99401,0.88161,1.41988,0.82062,0.82609,0.75022,0.3329,0.95033,0.95652,0.98499,0.52095,2.25619,2.03908,0.93148,1.24921,1.67735,0.000722584,0.000722584,0.000722584
8,16.039,1.48475,1.02108,0.95427,0.92586,1.40829,0.49639,0.69565,0.59978,0.24315,0.79593,0.78261,0.8718,0.41523,2.16131,2.23289,0.94137,1.60357,1.61906,0.000809716,0.000809716,0.000809716
9,17.392,1.7819,0.94983,0.95396,1.01205,1.60968,0.69044,0.776,0.69887,0.30253,0.95788,1,0.99333,0.73088,2.0251,1.25867,0.73881,1.93676,1.6976,0.000892096,0.000892096,0.000892096
10,18.7881,1.59079,0.91369,0.92438,1.00401,1.47036,0.73998,0.78261,0.70557,0.24994,0.91881,0.98449,0.9678,0.73831,2.26568,1.23067,0.70698,1.96673,1.87183,0.000969724,0.000969724,0.000969724
11,20.7795,1.48589,0.89611,0.94737,0.97029,1.47243,0.69797,0.82609,0.75069,0.32879,0.9051,0.95652,0.97343,0.80268,2.06696,1.2479,0.59489,1.91888,1.67428,0.0010426,0.0010426,0.0010426
12,23.0302,1.5729,0.79129,0.76917,0.87378,1.40621,0.90745,0.86957,0.96068,0.47918,0.95284,1,0.99167,0.75878,1.77643,1.34233,0.59703,1.19356,1.34469,0.00111072,0.00111072,0.00111072
